Datetime,MWh_N,MWh_NE,MWh_S,MWh_SE
2349,518584053.672,812882841.641,744264826.947,347410665.159
2350,520003480.051,815066548.678,746224885.159,347410665.159
2351,521422906.429,817250255.716,748184943.37,347410665.159
2352,522842332.808,819433962.753,750145001.581,347410665.159
2353,524261759.186,821617669.79,752105059.792,347410665.159
2354,525681185.564,823801376.827,754065118.003,347410665.159
2355,527100611.943,825985083.864,756025176.215,347410665.159
2356,528520038.321,828168790.901,757985234.426,347410665.159
2357,529939464.7,830352497.938,759945292.637,347410665.159
2358,531358891.078,832536204.975,761905350.848,347410665.159
2359,532778317.457,834719912.012,763865409.059,347410665.159
2360,534197743.835,836903619.049,765825467.271,347410665.159
2361,535617170.214,839087326.086,767785525.482,347410665.159
2362,537036596.592,841271033.123,769745583.693,347410665.159
2363,538456022.971,843454740.16,771705641.904,347410665.159
2364,539875449.349,845638447.197,773665700.115,347410665.159
2365,541294875.728,847822154.235,775625758.327,347410665.159
2366,542714302.106,850005861.272,777585816.538,347410665.159
2367,544133728.484,852189568.309,779545874.749,347410665.159
2368,545553154.863,854373275.346,781505932.96,347410665.159
2369,546972581.241,856556982.383,783465991.171,347410665.159
2370,548392007.62,858740689.42,785426049.383,347410665.159
2371,549811433.998,860924396.457,787386107.594,347410665.159
2372,551230860.377,863108103.494,789346165.805,347410665.159
2373,552650286.755,865291810.531,791306224.016,347410665.159
2374,554069713.134,867475517.568,793266282.227,347410665.159
2375,555489139.512,869659224.605,795226340.439,347410665.159
2376,556908565.891,871842931.642,797186398.65,347410665.159
2377,558327992.269,874026638.679,799146456.861,347410665.159
2378,559747418.647,876210345.716,801106515.072,347410665.159
2379,561166845.026,878394052.754,803066573.283,347410665.159
2380,562586271.404,880577759.791,805026631.495,347410665.159
2381,564005697.783,882761466.828,806986689.706,347410665.159
2382,565425124.161,884945173.865,808946747.917,347410665.159
2383,566844550.54,887128880.902,810906806.128,347410665.159
2384,568263976.918,889312587.939,812866864.339,347410665.159
2385,569683403.297,891496294.976,814826922.551,347410665.159
2386,571102829.675,893680002.013,816786980.762,347410665.159
2387,572522256.054,895863709.05,818747038.973,347410665.159
2388,573941682.432,898047416.087,820707097.184,347410665.159
2389,575361108.811,900231123.124,822667155.395,347410665.159
2390,576780535.189,902414830.161,824627213.607,347410665.159
2391,578199961.567,904598537.198,826587271.818,347410665.159
2392,579619387.946,906782244.235,828547330.029,347410665.159
2393,581038814.324,908965951.273,830507388.24,347410665.159
2394,582458240.703,911149658.31,832467446.451,347410665.159
2395,583877667.081,913333365.347,834427504.662,347410665.159
2396,585297093.46,915517072.384,836387562.874,347410665.159
2397,586716519.838,917700779.421,838347621.085,347410665.159
2398,588135946.217,919884486.458,840307679.296,347410665.159
2399,589555372.595,922068193.495,842267737.507,347410665.159
2400,590974798.974,924251900.532,844227795.718,347410665.159
2401,592394225.352,926435607.569,846187853.93,347410665.159
2402,593813651.731,928619314.606,848147912.141,347410665.159
2403,595233078.109,930803021.643,850107970.352,347410665.159
2404,596652504.487,932986728.68,852068028.563,347410665.159
2405,598071930.866,935170435.717,854028086.774,347410665.159
2406,599491357.244,937354142.754,855988144.986,347410665.159
2407,600910783.623,939537849.791,857948203.197,347410665.159
2408,602330210.001,941721556.829,859908261.408,347410665.159
2409,603749636.38,943905263.866,861868319.619,347410665.159
2410,605169062.758,946088970.903,863828377.83,347410665.159
2411,606588489.137,948272677.94,865788436.042,347410665.159
2412,608007915.515,950456384.977,867748494.253,347410665.159
2413,609427341.894,952640092.014,869708552.464,347410665.159
